time,text,user,followers,city,country
21:01:20,@GoldenDiscs #giveaway #RSD17 #win,Iris3287,1361,Chicago,United States
21:01:46,@DarrelBirkett @PLACEBOWORLD I can see that one going fast. An early start might be on the cards 😂 #rsd17,aKickInside,461,Carlisle,United Kingdom
21:02:44,A beautiful soundtrack from #PopolVuh on #vinyl for #RSD17.@OneWayStatic JOIN US: https://t.co/U2WpMWBDQR… https://t.co/DOCx3yTGrY,TBonesCafe,3214,Hattiesburg,United States
21:22:23,#thenotoriousbig #nortoriousbig #bornagain #recordstoredayexclusive #rsd17 #rsd2017… https://t.co/FUeKGx7x0v,drfreeclouds,1349,Huntington Beach,United States
21:24:32,#davidbowie #bowie #crackedactor #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/DHgWh2jrd5,drfreeclouds,1349,Huntington Beach,United States
21:26:40,Tomorrow! @recordstoreday #RSD17 @efetusduluth! w/@wdizzo @rkilgourmusic #JenWest @kruegrant #DuluthMusic… https://t.co/76oEBgKPbF,EllipsisDuluth,2260,Duluth,United States
21:29:25,#bigl #devilssonep #fromthevaults #recordstoredayexclusive #rsd17 #rsd2017 #recordstoreday… https://t.co/VryZgYEKJ7,drfreeclouds,1349,Huntington Beach,United States
21:31:14,How about these #RSD17 bangers? Get 'em at @Grimeys tomorrow 4/22! #realmotherforya #themeters #blackrock… https://t.co/7RZL5Q0lE1,Grimeys,56776,Nashville,United States
21:31:57,Thanks for bearing with us as we get ready for @recordstoreday 2017. We open at 11am. More info at https://t.co/2lp0GuW4N0 #RSD17,purple_narwhal,61,Rockville,United States
21:33:08,"#Spinning #RSD17 #OpenVinylNight (@ The Hospital Club in Covent Garden, Greater London) https://t.co/hl9cLRdsBQ https://t.co/5B2q2Zpp3A",barryslounge,1651,Camden Town,United Kingdom
21:34:13,"The breakfast hour with a Windling, looking forward to @windings man Steve kick-off @recordstoreday tomorrow morn... https://t.co/YrHgSzUnGx",SteamboatLk,39,Limerick,Ireland
21:34:47,From #PinkFloyd to #pinkvinyl we gotcha covered for #RSD17! #bangerz #drwho #johnnycash #youknowforkids https://t.co/Gq3ZxsyRz5,Grimeys,56776,Nashville,United States
